epoch,loss,val_auc,val_accuracy
1,0.4084901257067919,0.9724619999999999,0.859
2,0.255415105458349,0.984515,0.9435
3,0.16964019228480756,0.9922589999999999,0.939
4,0.10232912517331424,0.9941540000000001,0.9505
5,0.04601274476897961,0.9947165,0.936
